id;label;Latitude;Longitude;status
880;"Maun";-19.972564;23.431086;healthy
881;"Gaberone";-24.555225;25.918208;healthy
883;"Brazzaville";-4.2517;15.253031;healthy
886;"Pointe-noire";-4.816028;11.886597;healthy
887;"Manzini";-26.529022;31.307519;healthy
888;"Bangui";4.398475;18.518786;healthy
890;"Bata";1.905469;9.805681;healthy
891;"Malabo";3.755267;8.708717;healthy
893;"Plaisance";-20.430235;57.6836;healthy
894;"Rodriguez Island";-19.757658;63.360983;healthy
897;"Douala";4.006081;9.719481;healthy
898;"Maroua";10.451392;14.257361;healthy
900;"N'gaoundere";7.357011;13.559242;healthy
901;"Garoua";9.335892;13.370103;healthy
906;"Livingstone";-17.821756;25.822692;healthy
907;"Lusaka";-15.330817;28.452628;healthy
908;"Mfuwe";-13.258878;31.936581;healthy
910;"Ndola";-12.998139;28.664944;healthy
912;"Moroni";-11.533661;43.27185;healthy
915;"Dzaoudzi";-12.804722;45.281113;healthy
916;"St.-denis";-20.8871;55.510308;healthy
917;"St.-pierre";-21.320039;55.423581;healthy
918;"Antananarivo";-18.79695;47.478806;healthy
920;"Sainte Marie";-17.093889;49.815834;healthy
921;"Toamasina";-18.109517;49.392536;healthy
922;"Morondava";-20.28475;44.317614;healthy
923;"Antsiranana";-12.3494;49.291747;healthy
924;"Mananara";-16.1639;49.773753;healthy
927;"Antalaha";-14.999411;50.320233;healthy
929;"Mahajanga";-15.667144;46.351828;healthy
930;"Nosy-be";-13.312067;48.314822;healthy
932;"Maroantsetra";-15.436666;49.688332;healthy
933;"Sambava";-14.278611;50.174721;healthy
937;"Tolagnaro";-25.038056;46.956111;healthy
943;"Toliara";-23.383369;43.728453;healthy
944;"M'banza-congo";-6.269897;14.247025;healthy
946;"Cabinda";-5.596992;12.188353;healthy
948;"Huambo";-12.808878;15.760547;healthy
949;"Kuito";-12.404633;16.947414;healthy
951;"Luanda";-8.858375;13.231178;healthy
952;"Malanje";-9.525086;16.312406;healthy
953;"Menongue";-14.657583;17.719833;healthy
957;"Saurimo";-9.689067;20.431875;healthy
